"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4473.90290913642","5060.51070590814","5714.30621421592","6083.96777995885","6081.74072841942","6100.07048853002","6096.38437199466","6252.02001357665","6342.85584841784","6800.70134759785","7555.13433418162","7863.51714507148","8165.86601859768","8863.00540784127","9258.88296109027","9480.48068179689","9924.68920144487","10242.8475586846","9985.97881575828","9744.23020506893","9734.89239729241","9697.85343903603","9266.09146145698","9514.40354285543","9489.94683154866","9538.19054142614","9401.53293960018","9121.74716397996","9527.70914005255","10531.3234398626","9618.01643529994","11677.4610095172","13465.9807069861","13823.4379513758","15092.7808546669",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35944.5383502772","35583.9918588002","36109.732857216","37812.9984919051","38603.8538837736","40917.6104146492","42545.1202187236","44995.7854570556","46915.8458365428","48798.9050127885","54176.377748356","59092.8759704678","58862.6907986795","61829.3240116897","64790.2739198061","67771.4683756141","73590.1160702265","77894.0646213844","77556.4350038925","73336.9875151545","72188.6928304585","70911.542318725","69149.0500342682","71519.6398526584","71988.5383627822","75943.4642970922","80412.1834895484","85680.9701917217","85978.2177227009","90984.4576708318","85146.4006275696","92319.6714861219","105142.409967183","114372.049927372","119718.584667771",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2284.01268327627","2434.34709631959","2479.71028831935","2594.8773737444","2720.80378855255","2853.39410272177","2976.76635036796","3121.24529858977","3257.04913157388","3259.82944820838","3359.09510540566","3434.14415650385","3514.91426259674","3620.33772189586","3808.21800378435","4032.7263980008","4282.87164764407","4521.67932002792","4810.27858294526","4919.810318591","5100.52757238083","5388.5129347759","5866.98414168445","6589.67145543799","7047.20153027989","7152.04465025692","7547.90376641611","8510.26685679361","8952.58785284444","9174.44563616863","8293.99121208365","9454.19814680002","10371.9629079451","10925.2730525053","11189.8055097036",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6687.92294845833","6866.63038067142","6869.41000567118","7259.98885694017","7727.24541734073","8096.91149188512","8300.634141472","8601.60903058102","8598.80569216845","8634.60784569515","9091.76851374523","9303.64529202374","9616.59485500825","9801.96212464828","10525.7113783353","11081.2474735762","11750.5312440217","12672.5051160173","13445.2454698704","13390.683131466","14451.7158389637","15211.7920391654","15198.0863308622","15722.3335242901","15827.3081625514","14821.4383174534","14309.2061489274","14559.0488897004","15463.7426393889","16069.8380152627","16101.6183063466","18075.7060049068","19876.8533531447","21175.6186990185","22333.4116642585",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11071.6479738726","10966.1388161447","10541.2324125613","10845.0063346499","11273.6829463208","11723.0940626561","12400.8223198405","13207.1780615558","13851.2454212949","14089.9153162191","15075.9510103336","15030.0068337204","15283.4119402707","15826.6635591615","16387.8260169596","17478.130178584","19019.133736304","19846.0422927221","20250.1141390094","19253.2687837529","18977.5426798427","19165.0101287625","17936.9937259746","18004.6691202993","17752.5177240704","17804.7490038367","18013.6734415905","17898.8994551274","18551.1686491129","18760.3700129938","15824.49106614","15683.8847128096","19786.3615156207","21336.1575553016","22671.9466863479",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70200.7406205123","72609.8062334477","70015.7711217848","69387.2563530061","69778.5768892449","70440.0219145107","70007.6412432804","73980.4113435907","68256.8699705904","70584.6097100671","73086.931984444","74253.8817193504","76838.1758589973","79632.1721969474","80403.7579266317","81534.1716616816","86114.3372217103","83693.3213438754","80476.7248922548","77957.1442560415","79542.6778763874","82735.3914838894","87256.0422331538","83237.1470918238","81225.5484781769","62707.8263582428","56679.5185751306","61657.6802809744","65148.8264520382","69353.6798666178","69787.9633393605","78248.7971101454","81801.745908279","85032.6008678781","90007.077485547",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1637.87181211026","1656.84173576743","1840.09034775722","2001.13467169641","2145.74566746001","2373.56846713951","2547.83812203065","2682.5947815051","2818.99572527438","3017.48876253666","3113.045439264","3338.49246893448","3662.80907177599","3942.28144580049","4172.78217119849","4523.35970644529","4860.27017151102","5728.91569471022","6035.21741147854","6466.0974491583","7245.77263522404","7935.46760973088","8577.40731901004","8666.91063590069","9323.39448941386","10213.8139608922","11273.2823807676","11677.4142659974","11969.5615003305","12909.1009840399","12475.048003428","13458.812666743","15063.8105763072","16253.9629503074","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5978.0270240825","6462.67264746043","6614.08088652298","6705.82732779457","6903.48500191865","7348.40042047294","7727.99815905257","8321.93566084762","8267.59411140577","8998.59902267893","9187.36377613829","9225.97054261296","9752.8483079677","10223.9682803527","10595.5622823475","11222.4605659522","12304.4671778105","13113.2488470251","13526.1911798874","11445.7276374329","12490.8923158262","13354.8617837747","12474.5131685518","13340.8782619865","15003.3197518349","14143.6940733728","16228.1231235664","15700.6650479641","15785.819633781","15960.0156143903","15292.2624704777","17960.6254431256","19976.8343776476","21012.1031973569","20538.1320160386",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620.391176505202","618.179517934398","573.150589287487","570.245637847042","592.18543758181","630.691681389742","600.772967864624","626.078453835456","645.129994415361","659.524563046957","639.836997022267","668.445939283473","688.18045108872","648.193215397331","690.426514027755","702.460624591232","743.287480208983","783.355445280928","797.652806166077","877.252131104878","936.485497371468","980.185520951852","1062.06809941049","709.853481245446","698.963738923072","768.870887999174","826.013301383169","883.810734876066","905.817788941094","984.843183678857","1066.29005423151","1128.55237996459","1217.84977147289","1257.09435709914","1263.59554279079",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20229.7558681625","20224.6873311056","20626.2020585898","21440.0469855991","22632.8340863081","23485.6419280395","24050.1750062174","25258.8605604948","26319.6741635104","27841.3533496575","29362.0841609786","30230.8487685762","30963.9218856684","32351.5456968698","33927.6696952532","36328.378994377","38119.3909593545","39575.4770075876","40376.0882836384","38864.0566958538","40098.2537191139","41666.8374590278","42291.9729357094","44301.0562529133","45758.1007297304","44669.4513631838","46470.6466391109","48317.3874457163","49982.5999118346","50498.9731057448","48590.6832121939","56995.1176781351","63578.3201949554","64462.9211694495","65463.0990993361",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7530.71287712619","6976.07136354872","6831.41194888759","7022.10449178479","7438.38200356192","8015.75927259919","8423.70563245392","8724.54125355633","9116.07888441892","9417.53040626633","10035.7412222779","10821.8592077974","11641.2150517796","12342.1724748447","13494.4057883506","14308.0640299505","15918.1470450732","17751.1090334648","19673.0862431583","19698.8025084209","20867.2995965901","22364.7529231524","23159.5176431734","23943.7981534004","25048.2500439588","26292.6215529248","27955.5835401656","30076.5485990155","32344.786133568","35905.3279409488","36492.5124137934","40161.3645716035","44792.3003176191","46525.7532317562","49767.9266262169",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28442.331604763","28773.0139362181","29093.3238541076","29475.7500522008","30245.3759671361","30821.4370522444","31497.7419568964","32728.0114219533","33857.6531675935","34742.6318631555","36695.2070554187","37822.9275072501","38704.9584597242","38737.3079261209","40176.5707415374","41524.8488732932","46275.5494842863","50929.4927044896","53808.7841127066","52971.3732760585","54432.332994981","57493.5810559211","59440.9158607666","61656.4661708516","63417.0438110319","65282.5841931923","67350.7518747757","68193.5055940262","70688.8187491194","73732.2353322093","72997.8239503282","81001.4111206118","91326.1317048182","90505.997877357","93818.7074809256",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
